kpoint	raw_unitarity_max_abs	polar_unitarity_max_abs	singular_value_max_abs_deviation	raw_wfc_reconstruction_relative_frobenius	polar_wfc_reconstruction_relative_frobenius	raw_vs_polar_transform_relative_frobenius	raw_vs_polar_velocity_maximum_absolute	raw_vs_polar_velocity_relative_frobenius	raw_vs_reference_velocity_maximum_absolute	raw_vs_reference_velocity_relative_frobenius	polar_vs_reference_velocity_maximum_absolute	polar_vs_reference_velocity_relative_frobenius
54	3.43891581877642238e-12	1.33226762955018785e-15	1.73727698893344495e-12	2.16385564721685743e-16	1.31386923965724029e-12	4.75336191937447648e-13	1.41903871462863039e-10	1.50003750112753756e-12	1.19383616022670097e+02	1.38785704459197201e+00	1.19383616022666075e+02	1.38785704459251713e+00
55	5.11457542984317115e-12	1.33226762955018785e-15	2.61413113378239359e-12	3.79848030484392603e-16	1.77191490562750224e-12	5.44602379544436460e-13	1.32979731666437598e-10	1.29724865794980687e-12	7.74932125835139516e+01	1.19912146091305383e+00	7.74932125835212560e+01	1.19912146091328098e+00
56	5.08904030027679255e-12	1.11022302462515654e-15	2.60480526037554228e-12	3.60049758323586461e-16	1.76476739843948588e-12	5.42438368069745856e-13	1.32237307701901191e-10	1.29123586792965221e-12	1.07516295364503165e+02	1.20926855643716258e+00	1.07516295364498291e+02	1.20926855643736197e+00
57	3.38584715819933990e-12	9.99200722162640886e-16	1.71729297449019214e-12	3.03743081886126704e-16	1.30231884203238146e-12	4.71138803871293684e-13	1.40594319470880520e-10	1.48703378717061949e-12	8.35078861434152628e+01	1.33684185536614875e+00	8.35078861435549982e+01	1.33684185536711220e+00
58	5.10369524420184462e-12	1.99840144432528177e-15	2.61102250931344315e-12	3.95807076186611970e-16	1.77332455241644071e-12	5.45813143556779587e-13	1.33705926822690479e-10	1.30438637819155804e-12	9.74042206735841489e+01	1.13899532778909962e+00	9.74042206735940113e+01	1.13899532778939094e+00
59	4.69779770639888739e-12	2.22044604925031308e-15	2.62978527842960830e-12	3.71191719665233276e-16	1.77683108100797175e-12	5.36594751930681307e-13	2.33583829276542651e-10	1.24706901902936480e-12	1.71898966054189515e+02	1.53229354499437331e+00	1.71898966054181926e+02	1.53229354499443504e+00
60	3.36375372000929929e-12	8.88224216222892072e-16	1.70885527950304095e-12	2.18454749808629383e-16	9.50437811116422979e-13	3.40821837794377754e-13	1.29588784147927072e-10	8.20489954749987775e-13	4.96709344039942380e+01	1.14057760086642079e+00	4.96709344040347816e+01	1.14057760086672277e+00
61	5.08770803264724236e-12	1.33226762955018824e-15	2.60380605965337963e-12	3.43253113737283600e-16	1.76708685941190688e-12	5.43459597416837893e-13	1.33161075064975363e-10	1.29717110139502419e-12	9.12098473896122499e+01	1.18932450627402120e+00	9.12098473896217001e+01	1.18932450627432806e+00
62	4.75486316986462043e-12	1.77635683940025046e-15	2.65043542668763621e-12	4.31870306979538564e-16	1.78884630068813539e-12	5.39449961192350910e-13	2.34464937839503313e-10	1.25253361636162784e-12	1.44723850355423764e+02	1.37599663700900310e+00	1.44723850355417255e+02	1.37599663700906216e+00
63	2.28639329691304738e-12	6.66133814775093924e-16	1.96964666798749022e-12	5.95362402348817604e-16	1.20861552804026356e-12	3.89996799814473976e-13	5.68860514249536209e-11	6.64820243832666593e-13	1.24030760685866198e+02	1.38917173744718436e+00	1.24030760685863072e+02	1.38917173744726297e+00
