kpoint	source_band	reference_band	dominant_amplitude	phase_residual	eigenvalue_difference_ha
9	3	3	1.00000000000000089e+00	2.73545242278922917e-09	5.66343094920984669e-08
9	4	4	9.99999999999999223e-01	1.35751259825424007e-08	1.11439380778843855e-07
9	5	5	1.00000000000000044e+00	2.20865369172666880e-08	1.53139626479781299e-07
9	6	6	1.00000000000000000e+00	1.09056422329611492e-08	1.67368880754636962e-07
9	7	7	1.00000000000000022e+00	2.21739208060342463e-09	1.71067016552228779e-07
9	8	8	1.00000000000000133e+00	1.02604552180835976e-08	2.34564086265542926e-07
9	9	9	1.00000000000000133e+00	1.00932265232720838e-08	2.41043640047955421e-07
9	10	10	1.00000000000000222e+00	8.51943842226346280e-09	2.68647055712278870e-07
9	11	11	1.00000000000000044e+00	2.83374145468525627e-09	2.68816623183454340e-07
9	12	12	1.00000000000000044e+00	1.50656843957878700e-08	3.40941484378021187e-07
9	13	13	9.99999999999999445e-01	1.13414740677037233e-08	3.45721438588242336e-07
9	14	14	1.00000000000000133e+00	4.83878104468442741e-09	3.53724384893894239e-07
9	15	15	1.00000000000000000e+00	1.82678512688446483e-08	3.66701024434590295e-07
9	16	16	9.99999999999994893e-01	1.26282666143880884e-08	3.89724090776866205e-07
9	17	17	1.00000000000000178e+00	2.21766697631036332e-08	4.21406202155694132e-07
9	18	18	1.00000000000000133e+00	2.11460497356213102e-09	4.36972626305376366e-07
9	19	19	9.99999999999991562e-01	5.84163312106445537e-09	5.01945861097752299e-07
9	20	20	1.00000000000000089e+00	4.86582776881346786e-09	5.81640455799004030e-07
9	21	21	9.99999999999972244e-01	2.56481151069425710e-08	6.22458654619961749e-07
9	22	22	1.00000000000029576e+00	8.60820967033053597e-09	1.24104623688836568e-06
9	23	23	9.99999999999991229e-01	4.59665482458295997e-10	1.42285081183857187e-06
9	24	24	1.00000000000066014e+00	5.82853479654830043e-08	1.57644880527385567e-06
9	25	25	1.00000000000259970e+00	3.26396931589257457e-08	1.76984756983245006e-06
10	0	0	9.99999999999998002e-01	1.04251187844233442e-08	-1.91228290910561149e-08
10	1	1	9.99999999999998668e-01	1.04250939144194365e-08	-1.91228041804269999e-08
10	2	2	9.84424442126313526e-01	1.76496786773869985e-01	4.73339078210788244e-08
10	3	3	9.84424442126315635e-01	1.76496786773870401e-01	4.73339084872126392e-08
10	4	4	1.00000000000000111e+00	1.92404508119739790e-08	1.00527315749499024e-07
10	5	5	1.00000000000000089e+00	1.92404863784819635e-08	1.00527386748261449e-07
10	6	7	8.52830872356568404e-01	9.77561011920658474e-01	2.24336946352821087e-07
10	7	6	8.52830872356568848e-01	9.77561011920670353e-01	2.24336948795311741e-07
10	8	8	9.33104820521202249e-01	3.65773644305230849e-01	2.41834459568934790e-07
10	9	9	9.33104820521202249e-01	3.65773644305228129e-01	2.41834460568135512e-07
10	10	10	9.99999999999982347e-01	1.88520912728033285e-07	2.76400719534386496e-07
10	11	11	9.99999999999982236e-01	1.88521962036207793e-07	2.76400714205315978e-07
10	12	12	1.00000000000000022e+00	6.79621542609248775e-09	2.80927497819938310e-07
10	13	13	1.00000000000000022e+00	6.79621537380089717e-09	2.80927510365458488e-07
10	14	14	9.99999999999998557e-01	9.67148250227827973e-09	3.93100759055187154e-07
10	15	15	9.99999999999998224e-01	9.67119286653482476e-09	3.93101047269084347e-07
10	16	16	8.54403710650047388e-01	5.39622626021642238e-01	4.32515758319595989e-07
10	17	17	8.54403710650046833e-01	5.39622626021646457e-01	4.32515763204577297e-07
10	18	18	9.99999999999999334e-01	2.21174184552324574e-08	4.58689096261011287e-07
10	19	19	1.00000000000000022e+00	2.21174416777148235e-08	4.58689420446134477e-07
10	20	20	9.15271029032383665e-01	4.11652695737778629e-01	5.01249420414850988e-07
10	21	21	9.15271029032383998e-01	4.11652695737779406e-01	5.01249423745520062e-07
10	22	22	7.84376254216459956e-01	6.56694366880045677e-01	1.47064606537128384e-06
10	23	23	7.84376254216467284e-01	6.56694366880058333e-01	1.47064607691760330e-06
10	24	24	1.00000000000184253e+00	3.62092665102174515e-08	1.81250454911463521e-06
10	25	25	1.00000000000184652e+00	3.62093028621763285e-08	1.81250602526716875e-06
11	0	0	9.99999999999998890e-01	1.49322315624640033e-09	-3.82134368870357122e-08
11	1	1	9.99999999999999112e-01	5.20605340035315161e-09	-1.67324101216269686e-11
11	2	2	1.00000000000000089e+00	1.14838760973866046e-08	3.82696235950996666e-08
11	3	3	9.99999999999999001e-01	2.73545543539306383e-09	5.66343102692545841e-08
11	4	4	9.99999999999999334e-01	1.35751262630476960e-08	1.11439379113509318e-07
11	5	5	1.00000000000000000e+00	2.20865091434795662e-08	1.53139625092002518e-07
